Season,Episode number,Title,Airing date,File path
4,38,Japanophiles – Matt Alt,2011-11-17,155 BEGIN Japanology - Japanophiles - Matt Alt.mkv
4,39,Karaoke,2011-11-24,156 BEGIN Japanology - Karaoke.mkv
4,40,Holidays,2011-12-01,157 BEGIN Japanology - Holidays.mkv
4,41,Red Sea Bream,2011-12-08,158 BEGIN Japanology - Red Sea Bream.mkv
4,42,Shopping Streets,2011-12-15,159 BEGIN Japanology - Shopping Streets.mkv
4,43,Chickens and Eggs,2011-12-22,160 BEGIN Japanology - Chickens and Eggs.mkv
5,1,Ekiden,2012-01-12,161 BEGIN Japanology - Ekiden.mkv
5,2,Batteries,2012-01-19,162 BEGIN Japanology - Batteries.mkv
5,3,Cafes,2012-01-26,163 BEGIN Japanology - Cafes.mkv
5,4,Hot Water Bottles and Pocket Warmers,2012-02-02,164 BEGIN Japanology - Hot Water Bottles and Pocket Warmers.mkv
5,5,Ikebana,2012-02-09,165 BEGIN Japanology - Ikebana.mkv
5,6,Excavators,2012-02-16,166 BEGIN Japanology - Excavators.mkv
5,7,Woods & Forests,2012-02-23,167 BEGIN Japanology - Woods and Forests.mkv
5,8,Japanophiles – Dhugal Lindsay,2012-03-01,168 BEGIN Japanology - Japanophiles - Dhugal Lindsay.mkv
5,9,Japanophiles – Richard Emmert,2012-03-08,169 BEGIN Japanology - Japanophiles - Richard Emmert.mkv
5,10,Japanophiles – Art Lee,2012-03-15,170 BEGIN Japanology - Japanophiles - Art Lee.mkv
5,11,Japanophiles – Philip Harper,2012-03-29,171 BEGIN Japanology - Japanophiles - Philip Harper .mkv
5,12,Kabuki,2012-04-05,172 BEGIN Japanology - Kabuki .mkv
5,13,Wild Vegetables,2012-04-12,173 BEGIN Japanology - Wild Vegetables.mkv
5,14,Horses,2012-04-19,174 BEGIN Japanology - Horses.mkv
5,15,Massage Chairs,2012-04-26,175 BEGIN Japanology - Massage Chairs.mkv
5,16,Shikoku Pilgrimage,2012-05-03,176 BEGIN Japanology - The Shikoku Pilgrimage.mkv
5,17,Regional Fast Food,2012-05-10,177 BEGIN Japanology - Regional Fast Food.mkv
5,18,Department Stores,2012-05-17,178 BEGIN Japanology - Department Stores.mkv
5,19,Kimonos,2012-05-24,179 BEGIN Japanology - Kimonos.mkv
5,20,Aquariums,2012-06-07,180 BEGIN Japanology - Aquariums.mkv
5,21,Confectionery,2012-06-14,181 BEGIN Japanology - Confectionery.mkv
5,22,Dolls,2012-06-21,182 BEGIN Japanology - Dolls.mkv
5,23,Moss,2012-07-05,183 BEGIN Japanology - Moss.mkv
5,24,High School Baseball,2012-07-12,184 BEGIN Japanology - High School Baseball.mkv
5,25,Planetariums,2012-07-19,185 BEGIN Japanology - Planetariums.mkv
5,26,Japanophiles – Adam Booth,2012-08-16,186 BEGIN Japanology - Japanophiles - Adam Booth.mkv
5,27,Japanophiles – Dave Spector,2012-08-23,187 BEGIN Japanology - Japanophiles - Dave Spector.mkv
5,28,Japanophiles – Euan Craig,2012-08-30,188 BEGIN Japanology - Japanophiles - Euan Craig.mkv
5,29,Shamisen,2012-09-06,189 BEGIN Japanology - Shamisen.mkv
5,30,Crested Ibises,2012-09-13,190 BEGIN Japanology - Crested Ibises.mkv
5,31,Abalone,2012-09-20,191 BEGIN Japanology - Abalone.mkv
5,32,Tokyo Station,2012-10-04,192 BEGIN Japanology - Tokyo Station.mkv
5,33,Tokyo Skytree,2012-10-11,193 BEGIN Japanology - Tokyo Skytree.mkv
5,34,Tokyo Bay,2012-10-18,194 BEGIN Japanology - Tokyo Bay.mkv
5,35,"Potatoes, Taros, and Yams",2012-11-01,"195 BEGIN Japanology - Potatoes, Taros, and Yams.mkv"
5,36,Name Seals,2012-11-08,196 BEGIN Japanology - Name Seals.mkv
5,37,Mushrooms,2012-11-15,197 BEGIN Japanology - Mushrooms.mkv
5,38,Vending Machines,2012-11-22,198 BEGIN Japanology - Vending Machines.mkv
5,39,Scissors,2012-12-06,199 BEGIN Japanology - Scissors.mkv
5,40,Satsuma Mandarins,2012-12-13,200 BEGIN Japanology - Satsuma Mandarins.mkv
5,41,Gift-giving,2012-12-20,201 BEGIN Japanology - Gift-giving.mkv
6,1,Sumo,2013-01-10,202 BEGIN Japanology - Sumo.mkv
6,2,Bathroom Scales,2013-01-17,203 BEGIN Japanology - Bathroom Scales.mkv
6,3,Enka,2013-01-24,204 BEGIN Japanology - Enka.mkv
6,4,Small Factories,2013-01-31,205 BEGIN Japanology - Small Factories.mkv
6,5,Japanophiles – Azby Brown,2013-02-07,206 BEGIN Japanology - Japanophiles - Azby Brown.mkv
6,6,Japanophiles – Ernst Seiler,2013-02-14,207 BEGIN Japanology - Japanophiles - Ernst Seiler.mkv
6,7,Japanophiles – Yasokichi Konishiki,2013-02-21,208 BEGIN Japanology - Japanophiles - Yasokichi Konishiki.mkv
6,8,Ume Plums,2013-03-07,209 BEGIN Japanology - Ume Plums.mp4
6,9,Storehouses,2013-03-14,210 BEGIN Japanology - Storehouses.mp4
6,10,Wagyu,2013-03-21,211 BEGIN Japanology - Wagyu.mp4
6,11,Uniforms,2013-04-04,212 BEGIN Japanology - Rice Cookers.mp4
6,12,Rice Cookers,2013-04-11,213 BEGIN Japanology - Burial Mounds.mp4
6,13,Burial Mounds,2013-04-18,214 BEGIN Japanology - Stationery.mp4
6,14,Stationery,2013-04-25,215 BEGIN Japanology - Bread.mp4
6,15,Bread,2013-05-02,216 BEGIN Japanology - Pine Trees.mp4
6,16,Pine Trees,2013-05-09,217 BEGIN Japanology - Parcel Delivery.mp4
6,17,Parcel Delivery,2013-05-16,218 BEGIN Japanology - Pro Wrestling.mp4
6,18,Pro Wrestling,2013-05-23,219 BEGIN Japanology - Strawberries.mp4
6,19,Strawberries,2013-05-30,220 BEGIN Japanology - Uniforms.mp4
6,20,Calculators,2013-06-13,221 BEGIN Japanology - Calculators.mp4
6,21,Television,2013-06-27,222 BEGIN Japanology - Television.mp4
6,22,Lake Biwa,2013-07-04,223 BEGIN Japanology - Lake Biwa.mp4
6,23,Expressways,2013-07-11,224 BEGIN Japanology - Expressways.mp4
6,24,Beer,2013-07-18,225 BEGIN Japanology - Beer.mp4
